0	0.49	0.24	0.06	0	-0.03	-0.07	-0.07	-0.03	-0.01	0
0	0.17	0.49	0.17	0.02	-0.01	-0.04	-0.05	-0.03	-0.01	0
0	0.01	0.3	0.45	0.1	0	-0.02	-0.05	-0.05	-0.02	0
0	-0.02	0.05	0.31	0.39	0.06	-0.01	-0.03	-0.06	-0.05	-0.02
0	-0.03	-0.01	0.04	0.29	0.38	0.06	-0.01	-0.04	-0.07	-0.06
0	-0.05	-0.04	-0.01	0.03	0.29	0.37	0.05	-0.01	-0.05	-0.09
0	-0.03	-0.06	-0.04	-0.01	0.04	0.3	0.36	0.05	-0.02	-0.08
0	-0.02	-0.04	-0.05	-0.03	-0.01	0.05	0.33	0.37	0.03	-0.05
0	0	-0.02	-0.04	-0.05	-0.02	0	0.09	0.41	0.35	-0.02
0	0	-0.01	-0.03	-0.05	-0.04	-0.01	0.02	0.16	0.49	0.2
